"building","day","device","floor","level","mac","name","room","time"
"Block-9","Monday","Motorola Moto G (5S)","ground","-89","24:c9:a1:49:a1:58","IIITV2","9001","11:28:37"
"Block-9","Monday","Motorola Moto G (5S)","ground","-89","24:c9:a1:09:a1:58","IIITV-Staff","9001","11:28:37"
"Block-9","Monday","Motorola Moto G (5S)","ground","-74","2c:c5:d3:63:c2:38","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-74","2c:c5:d3:23:c2:38","IIITV1","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-83","24:c9:a1:49:9a:c8","IIITV2","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-75","24:c9:a1:09:a7:28","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-82","24:c9:a1:09:9a:c8","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-75","24:c9:a1:49:a7:28","IIITV2","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-89","2c:c5:d3:23:c2:3c","IIITV1","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-82","2c:c5:d3:63:c2:3c","IIITV-Staff","9001","11:28:55"
"Block-9","Monday","Motorola Moto G (5S)","ground","-81","24:c9:a1:09:9f:08","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-80","24:c9:a1:49:9f:08","IIITV2","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-88","24:c9:a1:07:29:58","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-63","f0:3e:90:8c:24:78","IIITV2","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-63","f0:3e:90:4c:24:78","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-65","f0:3e:90:0c:24:78","IIITV1","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-88","24:c9:a1:47:29:58","IIITV2","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-84","58:b6:33:66:56:c8","IIITV-Staff","9001","11:29:21"
"Block-9","Monday","Motorola Moto G (5S)","ground","-88","58:b6:33:26:56:c8","IIITV1","9001","11:29:21"
"college","Monday","Motorola Moto G (4)","ground","-78","2c:c5:d3:23:c2:38","IIITV1","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-79","2c:c5:d3:63:c2:38","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-84","24:c9:a1:07:2f:38","IIITV-Staff","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-86","24:c9:a1:47:2f:38","IIITV2","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-90","58:b6:33:66:53:28","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-86","24:c9:a1:09:9a:c8","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-84","24:c9:a1:47:29:58","IIITV2","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:29:58","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-84","2c:c5:d3:63:c2:3c","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-84","2c:c5:d3:23:c2:3c","IIITV1","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-78","24:c9:a1:49:9a:c8","IIITV2","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-46","24:c9:a1:49:a7:28","IIITV2","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-76","24:c9:a1:49:9f:08","IIITV2","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-76","24:c9:a1:09:9f:08","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-60","f0:3e:90:8c:24:78","IIITV2","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-60","f0:3e:90:4c:24:78","IIITV-Staff","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-60","f0:3e:90:0c:24:78","IIITV1","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-80","58:b6:33:66:56:c8","IIITV-Staff","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-79","58:b6:33:26:56:c8","IIITV1","9016","11:29:57"
"college","Monday","Motorola Moto G (4)","ground","-42","24:c9:a1:09:a7:28","IIITV-Staff","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-91","58:b6:33:26:53:28","IIITV1","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-89","58:b6:33:26:51:48","IIITV1","9016","11:30:09"
"college","Monday","Motorola Moto G (4)","ground","-88","58:b6:33:66:51:48","IIITV-Staff","9016","11:30:09"
"Block-9","Monday","","first","-66","2c:c5:d3:23:c2:38","IIITV1","9111","11:30:30"
"Block-9","Monday","","first","-48","58:b6:33:66:51:48","IIITV-Staff","9111","11:30:30"
"Block-9","Monday","","first","-48","58:b6:33:26:51:48","IIITV1","9111","11:30:30"
"Block-9","Monday","","first","-61","f0:3e:90:4c:24:78","IIITV-Staff","9111","11:30:30"
"Block-9","Monday","","first","-77","f0:3e:90:8c:24:78","IIITV2","9111","11:30:30"
